Year,Month,Site,Surface Temp,Middle Temp,Bottom Temp,pH,Dissolved Oxygen,Nitrite,Nitrate,Ammonia,Phosphate,Sulfide,Carbon Dioxide,Weather Condition,Wind Direction,Air Temperature
2013,January,TANAUAN,26.28,26.28,26.28,8.52,0.98,0.02,,0.83,,,,Cloudy to sunny,NE,26.28
2013,January,TALISAY,26.35,26.35,26.35,8.63,5.66,0.02,,0.00,,,,Cloudy to sunny,NE,26.35
2013,February,AYA,26.53,26.53,26.53,8.62,4.44,0.07,,0.56,,,,Cloudy,NE,28.50
2013,February,TUMAWAY,26.55,26.55,26.55,8.64,5.80,0.07,,0.53,,,,Sunny,NE,28.50
2013,February,SAMPALOC,26.98,26.98,26.98,8.77,6.51,0.07,,0.53,,,,Sunny,NE,28.50
2013,February,BERINAYAN,26.98,26.98,26.98,8.80,5.99,0.00,,0.48,,,,Sunny,NE,28.00
2013,February,BALAKILONG,27.05,27.05,27.05,8.78,6.74,0.03,,0.48,,,,Sunny,NE,28.00
2013,February,BUSO-BUSO,26.99,26.99,26.99,8.72,6.55,0.07,,0.47,,,,Sunny,NE,28.00
2013,February,BAÑAGA,26.95,26.95,26.95,8.72,6.20,0.01,,0.47,,,,Sunny,NE,28.00
2013,February,BILIBINWANG,26.96,26.96,26.96,8.98,6.59,0.00,,0.37,,,,Sunny,NE,27.00
2013,February,SUBIC-ILAYA,27.04,27.04,27.04,9.09,7.83,0.01,,0.47,,,,Sunny,NE,26.00
2013,February,SAN NICOLAS,26.77,26.77,26.77,8.78,7.39,0.00,,0.00,,,,Sunny,NE,26.00
2013,February,MATAAS NA KAHOY,26.41,26.41,26.41,8.87,6.95,0.01,,0.47,,,,Sunny,NE,26.00
2013,February,TANAUAN,26.32,26.32,26.32,8.68,9.37,0.00,,0.43,,,,Sunny,NE,25.00
2013,March,AYA,29,29,29,8.50,7.47,0.00,,0.00,,,,"Sunny to
 cloudy",Calm,27.50
2013,March,TUMAWAY,29,29,29,9.00,7.39,0.00,,0.00,,,,Sunny,SE,32.00
2013,March,SAMPALOC,29.5,29.5,29.5,8.50,7.90,0.00,,0.01,,,,Sunny,NE,30.00
2013,March,BERINAYAN,29.5,29.5,29.5,8.50,8.38,0.00,,0.03,,,,Sunny,NE,28.50
2013,March,BALAKILONG,28.5,28.5,28.5,8.25,7.37,0.00,,0.03,,,,Sunny,NE,30.00
2013,March,BUSO-BUSO,29,29,29,8.50,7.69,0.00,,0.00,,,,Sunny,NE,29.50
2013,March,BAÑAGA,29,29,29,8.50,8.18,0.01,,0.02,,,,"Sunny to
 cloudy",NE,28.00
2013,March,BILIBINWANG,29.5,29.5,29.5,8.50,8.61,0.00,,0.00,,,,Sunny,NE,30.50
2013,March,SUBIC-ILAYA,29.5,29.5,29.5,8.75,8.14,0.00,,0.01,,,,Sunny,NE,27.00
2013,March,SAN NICOLAS,29.5,29.5,29.5,8.75,9.16,0.00,,0.01,,,,Sunny,NE,30.00
2013,March,MATAAS NA KAHOY,28.5,28.5,28.5,8.50,8.55,0.00,,0.00,,,,Sunny,SW,32.00
