,Site,Date,pH,Dissolved Oxygen,Nitrite,Nitrate,Ammonia,Phosphate,Surface Temp,Middle Temp,Bottom Temp,WQI,Water Quality
0,TANAUAN,2013-01-01,8.52,0.98,0.02,0.206,0.83,2.466,26.28,26.28,26.28,5.86,Very Poor
1,TALISAY,2013-01-01,8.63,5.66,0.02,0.186,0,2.708,26.35,26.35,26.35,6.95,Very Poor
2,AYA,2013-02-01,8.62,4.44,0.07,0.194,0.56,2.626,26.53,26.53,26.53,6.76,Very Poor
3,TUMAWAY,2013-02-01,8.64,5.8,0.07,0.2259999999999999,0.53,2.53,26.55,26.55,26.55,7.09,Very Poor
4,SAMPALOC,2013-02-01,8.77,6.51,0.07,0.256,0.53,2.524,26.98,26.98,26.98,7.35,Very Poor
5,BERINAYAN,2013-02-01,8.8,5.99,0,0.2279999999999999,0.48,2.654,26.98,26.98,26.98,7.22,Very Poor
6,BALAKILONG,2013-02-01,8.78,6.74,0.03,0.25,0.48,2.524,27.05,27.05,27.05,7.41,Very Poor
7,BUSO-BUSO,2013-02-01,8.72,6.55,0.07,0.25,0.47,2.524,26.99,26.99,26.99,7.35,Very Poor
8,BAÑAGA,2013-02-01,8.72,6.2,0.01,0.2279999999999999,0.47,2.654,26.95,26.95,26.95,7.26,Very Poor
9,BILIBINWANG,2013-02-01,8.98,6.59,0,0.254,0.37,2.7,26.96,26.96,26.96,7.39,Very Poor
10,SUBIC-ILAYA,2013-02-01,9.09,7.83,0.01,0.2219999999999999,0.47,2.482,27.04,27.04,27.04,7.72,Very Poor
11,SAN NICOLAS,2013-02-01,8.78,7.39,0,0.18,0,2.506,26.77,26.77,26.77,7.45,Very Poor
12,MATAAS NA KAHOY,2013-02-01,8.87,6.95,0.01,0.1339999999999999,0.47,2.556,26.41,26.41,26.41,7.37,Very Poor
13,TANAUAN,2013-02-01,8.68,9.37,0,0.074,0.43,2.478,26.32,26.32,26.32,7.91,Very Poor
14,AYA,2013-03-01,8.5,7.47,0,0.028,0,2.5460000000000003,29,29,29,7.75,Very Poor
15,TUMAWAY,2013-03-01,9,7.39,0,0.122,0,2.544,29,29,29,7.81,Very Poor
16,SAMPALOC,2013-03-01,8.5,7.9,0,0.036,0.01,2.398,29.5,29.5,29.5,7.92,Very Poor
17,BERINAYAN,2013-03-01,8.5,8.38,0,0.006,0.03,2.574,29.5,29.5,29.5,8.06,Very Poor
18,BALAKILONG,2013-03-01,8.25,7.37,0,0.124,0.03,2.51,28.5,28.5,28.5,7.62,Very Poor
19,BUSO-BUSO,2013-03-01,8.5,7.69,0,0.05,0,2.508,29,29,29,7.8,Very Poor
20,BAÑAGA,2013-03-01,8.5,8.18,0.01,0.028,0.02,2.574,29,29,29,7.93,Very Poor
21,BILIBINWANG,2013-03-01,8.5,8.61,0,0.084,0,2.414,29.5,29.5,29.5,8.1,Very Poor
22,SUBIC-ILAYA,2013-03-01,8.75,8.14,0,0.032,0.01,2.502,29.5,29.5,29.5,8.03,Very Poor
23,SAN NICOLAS,2013-03-01,8.75,9.16,0,0.036,0.01,2.408,29.5,29.5,29.5,8.27,Very Poor
